Data,Descrição,Montante,Saldo Contabilístico
06-05-2023,COMISSAO CONTA CAIXA ,2.08,40.99
05-05-2023,LEVANTAMENTO Repsol ,200.00,43.07
04-05-2023,PAGAMENTO ,69.70,243.07
04-05-2023,TRF P2P 963xxx126 ,-310.00,312.77
30-04-2023,COMPRAS C DEB GOOGLE ,6.99,2.77
01-05-2023,COMPRA HIPAY SAS ,10.00,2.77
30-04-2023,COMPRA AUCHAN AVEIRO ,53.82,12.77
30-04-2023,TRF P2P 917xxx115 ,-23.30,66.59
30-04-2023,LEVANTAMENTO Edificio ,10.00,50.28
30-04-2023,TRF P2P 917xxx115 ,-2.40,60.28
30-04-2023,TRF P2P 917xxx115 ,-10.30,57.88
30-04-2023,COMPRA MARIA LOUNGE B ,19.70,47.58
29-04-2023,COMPRA CPCPC ALBERGAR ,5.10,67.28
29-04-2023,COMPRA BONGAS EXPRESS ,20.02,72.38
29-04-2023,TRF P2P 966xxx123 ,-90.00,92.40
24-04-2023,COMPRA AUCHAN AVEIRO ,2.74,2.40
24-04-2023,COMPRA BONGAS EXPRESS ,15.01,5.14
24-04-2023,TRF P2P 966xxx123 ,-20.00,20.15
21-04-2023,COMPRA BETCLIC PT ,10.00,0.15
21-04-2023,COMPRA BETCLIC PT ,10.00,10.15
21-04-2023,TRF P2P 917xxx115 ,-18.00,20.15
14-04-2023,COMPRA BONGAS EXPRESS ,21.00,2.15
14-04-2023,TRF P2P 966xxx123 ,-20.00,23.15
13-04-2023,COMPRA MCDONALD S AVE ,0.30,3.15
11-04-2023,TRF P2P 917xxx115 ,20.00,3.45
11-04-2023,DEPOSITO ,-20.00,23.45
09-04-2023,COMPRAS C DEB STEAMGA ,4.99,3.45
09-04-2023,COMPRA BONGAS EXPRESS ,11.74,3.45
