Data,Descrição,Montante,Saldo Contabilístico
31-05-2023,LEVANTAMENTO Galp   R ,-20.00,157.20
31-05-2023,TRF P2P 918xxx581 ,20.00,177.20
31-05-2023,COMPRA BURGER KING V ,-9.15,157.20
31-05-2023,TRF P2P 930xxx812 ,-0.33,166.35
29-05-2023,COMPRAS C DEB PAYPAL ,-10.05,166.68
28-05-2023,COMPRAS C DEB PAYPAL ,-18.75,166.78
30-05-2023,Hugo ,100.00,167.08
26-05-2023,COMPRAS C DEB PAYPAL ,-13.65,67.08
29-05-2023,TRF P2P 918xxx581 ,-10.50,67.08
26-05-2023,COMPRAS C DEB PAYPAL ,-12.55,87.53
26-05-2023,COMPRAS C DEB PAYPAL ,-0.99,87.63
28-05-2023,TRF P2P 918xxx581 ,9.00,87.63
28-05-2023,Hugo ,50.00,97.08
28-05-2023,TRF P2P 918xxx581 ,5.00,47.08
28-05-2023,COMPRA LIDL AGRADECE ,-9.99,42.08
28-05-2023,Pagamento WTF ,-12.50,52.07
27-05-2023,TRF P2P 918xxx581 ,-4.00,64.57
27-05-2023,COMPRA DOM CHURRASCO ,-10.50,68.57
27-05-2023,TRF P2P 918xxx581 ,10.00,79.07
27-05-2023,COMPRA BERNA ,-19.95,69.07
24-05-2023,COMPRAS C DEB PAYPAL ,-16.75,89.02
24-05-2023,COMPRAS C DEB UBER ,-10.66,116.41
25-05-2023,TRF P2P 918xxx581 ,-2.00,116.41
25-05-2023,COMPRA MBWAY   CINEMA ,-15.40,118.41
25-05-2023,TRF P2P 918xxx581 ,7.70,133.81
25-05-2023,Hugo ,75.00,126.11
23-05-2023,COMPRAS C DEB UBER ,-4.18,51.11
24-05-2023,TRF P2P 918xxx581 ,8.40,51.11
24-05-2023,TRF P2P 918xxx581 ,-8.99,59.16
21-05-2023,COMPRAS C DEB PAYPAL ,-20.17,78.81
21-05-2023,BX VALOR 03 TRANSACCO ,-6.85,83.29
20-05-2023,TRF P2P 918xxx993 ,-20.00,110.01
18-05-2023,COMPRAS C DEB PAYPAL ,-10.05,130.01
19-05-2023,Abr DepPrazo Online ,-10.000.00,130.11
19-05-2023,TRF CXDOL ,8.198.26,10.130.11
19-05-2023,DEPOSITO ,1.800.00,1.931.85
16-05-2023,COMPRAS C DEB PAYPAL ,-20.32,131.85
18-05-2023,COMPRA BONGAS EXPRESS ,-20.31,132.15
18-05-2023,TRF P2P 918xxx581 ,1.00,162.41
15-05-2023,COMPRAS C DEB PAYPAL ,-13.65,161.41
17-05-2023,TRF P2P 918xxx581 ,4.68,161.41
17-05-2023,COMPRA CONTINENTE BOM ,-13.35,156.73
17-05-2023,COMPRA MCDONALD S ,-3.64,170.08
17-05-2023,TRF P2P 938xxx964 ,-3.50,173.72
16-05-2023,TRF P2P 918xxx581 ,10.00,177.22
16-05-2023,Hugo ,100.00,187.24
14-05-2023,COMPRAS C DEB UBER ,-12.01,87.24
14-05-2023,BX VALOR 03 TRANSACCO ,-26.75,87.24
14-05-2023,COMPRAS C DEB PAYPAL ,-3.49,113.99
15-05-2023,TRF P2P 965xxx752 ,-2.10,127.64
12-05-2023,COMPRAS C DEB PAYPAL ,-5.99,129.74
11-05-2023,COMPRAS C DEB PAYPAL ,-19.00,145.24
11-05-2023,COMPRAS C DEB PAYPAL ,-7.13,145.24
10-05-2023,COMPRAS C DEB PAYPAL ,-10.05,145.24
12-05-2023,Hugo ,100.00,145.34
12-05-2023,MEO  SA ,-26.14,45.34
08-05-2023,COMPRA AMZN MKTP ES D ,-60.29,103.60
09-05-2023,COMPRA MCDONALDS V DO ,-5.90,113.55
07-05-2023,BX VALOR 03 TRANSACCO ,-3.35,119.45
05-05-2023,COMPRAS C DEB PAYPAL ,-3.99,122.80
08-05-2023,COMPRA DECATHLON AVEI ,-20.00,122.80
08-05-2023,GERA    O CORAGEM   L ,-21.99,142.80
07-05-2023,PAGAMENTO ,-4.69,225.08
04-05-2023,BX VALOR 03 TRANSACCO ,-2.20,229.77
03-05-2023,COMPRAS C DEB PAYPAL ,-3.99,231.97
04-05-2023,TRF P2P 918xxx581 ,15.95,235.96
04-05-2023,COMPRA ROTA 953 ,-31.80,220.01
30-04-2023,BX VALOR 03 TRANSACCO ,-10.85,255.80
28-04-2023,COMPRAS C DEB PAYPAL ,-10.05,266.65
